ZIPCODE,AREA,LAT,LON
10001,Manhattan,40.7831,-73.9712
10002,Manhattan,40.7831,-73.9712
10003,Manhattan,40.7831,-73.9712
10004,Manhattan,40.7831,-73.9712
10005,Manhattan,40.7831,-73.9712
10006,Manhattan,40.7831,-73.9712
10007,Manhattan,40.7831,-73.9712
10009,Manhattan,40.7831,-73.9712
10010,Manhattan,40.7831,-73.9712
10011,Manhattan,40.7831,-73.9712
10012,Manhattan,40.7831,-73.9712
10013,Manhattan,40.7831,-73.9712
10014,Manhattan,40.7831,-73.9712
10015,Manhattan,40.7831,-73.9712
10016,Manhattan,40.7831,-73.9712
10017,Manhattan,40.7831,-73.9712
10018,Manhattan,40.7831,-73.9712
10019,Manhattan,40.7831,-73.9712
10020,Manhattan,40.7831,-73.9712
10021,Manhattan,40.7831,-73.9712
10022,Manhattan,40.7831,-73.9712
10023,Manhattan,40.7831,-73.9712
10024,Manhattan,40.7831,-73.9712
10025,Manhattan,40.7831,-73.9712
10026,Manhattan,40.7831,-73.9712
10027,Manhattan,40.7831,-73.9712
10028,Manhattan,40.7831,-73.9712
10029,Manhattan,40.7831,-73.9712
10030,Manhattan,40.7831,-73.9712
10031,Manhattan,40.7831,-73.9712
10032,Manhattan,40.7831,-73.9712
10033,Manhattan,40.7831,-73.9712
10034,Manhattan,40.7831,-73.9712
10035,Manhattan,40.7831,-73.9712
10036,Manhattan,40.7831,-73.9712
10037,Manhattan,40.7831,-73.9712
10038,Manhattan,40.7831,-73.9712
10039,Manhattan,40.7831,-73.9712
10040,Manhattan,40.7831,-73.9712
10041,Manhattan,40.7831,-73.9712
10044,Manhattan,40.7831,-73.9712
10045,Manhattan,40.7831,-73.9712
10048,Manhattan,40.7831,-73.9712
10055,Manhattan,40.7831,-73.9712
10060,Manhattan,40.7831,-73.9712
10069,Manhattan,40.7831,-73.9712
10090,Manhattan,40.7831,-73.9712
10095,Manhattan,40.7831,-73.9712
10098,Manhattan,40.7831,-73.9712
10099,Manhattan,40.7831,-73.9712
10103,Manhattan,40.7831,-73.9712
10104,Manhattan,40.7831,-73.9712
10105,Manhattan,40.7831,-73.9712
10106,Manhattan,40.7831,-73.9712
10107,Manhattan,40.7831,-73.9712
10110,Manhattan,40.7831,-73.9712
10111,Manhattan,40.7831,-73.9712
10112,Manhattan,40.7831,-73.9712
10115,Manhattan,40.7831,-73.9712
10118,Manhattan,40.7831,-73.9712
10119,Manhattan,40.7831,-73.9712
10120,Manhattan,40.7831,-73.9712
10121,Manhattan,40.7831,-73.9712
10122,Manhattan,40.7831,-73.9712
10123,Manhattan,40.7831,-73.9712
10128,Manhattan,40.7831,-73.9712
10151,Manhattan,40.7831,-73.9712
10152,Manhattan,40.7831,-73.9712
10153,Manhattan,40.7831,-73.9712
10154,Manhattan,40.7831,-73.9712
10155,Manhattan,40.7831,-73.9712
10158,Manhattan,40.7831,-73.9712
10161,Manhattan,40.7831,-73.9712
10162,Manhattan,40.7831,-73.9712
10165,Manhattan,40.7831,-73.9712
10166,Manhattan,40.7831,-73.9712
10167,Manhattan,40.7831,-73.9712
10168,Manhattan,40.7831,-73.9712
10169,Manhattan,40.7831,-73.9712
10170,Manhattan,40.7831,-73.9712
10171,Manhattan,40.7831,-73.9712
10172,Manhattan,40.7831,-73.9712
10173,Manhattan,40.7831,-73.9712
10174,Manhattan,40.7831,-73.9712
10175,Manhattan,40.7831,-73.9712
10176,Manhattan,40.7831,-73.9712
10177,Manhattan,40.7831,-73.9712
10178,Manhattan,40.7831,-73.9712
